Kompetenzelement,Frage,Antwortmöglichkeit,Ergänzende Informationen
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.10 Planung und Steuerung,"Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
","d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch .... (egal was da noch steht, das macht in der Regel und laut Scrum sicher nicht ein SM","Auch in agilen Projekten sind Berichte über den Projektfortschritt wichtig welche Aussagen gelten über einen Burn Down Chart markieren sie die falsche Antwort.
a) Burndown Chart ist ein Instrument zur Visualisierung des Fortschrittes und Steuerung in einem Sprint 
b)Burn Down chart zeigt den Restaufwand an der von den Entwicklern täglich geschätzt werden muss 
c)Burn Downchart hat auf der x Achse die Zeit und auf der Y Achse den Aufwand (zum Beispiel in Story Points )
d) Burn Down Chart wird vom Scram Master erstellt um den Budgetverbrauch ....
"
04.05.10 Planung und Steuerung,Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement ,"Im klassischen bzw. planbasierten Projektmanagement entspricht die Retrospektive aus Scrum meist dem Lessons Learned Meeting oder der Projektabschlussbesprechung.
Hier reflektiert das Projektteam am Ende des Projekts (oder einer Phase) gemeinsam, was gut und schlecht lief, welche Erfahrungen gemacht wurden und welche Verbesserungen für zukünftige Projekte abgeleitet werden können.",Im Vorgehensmodell ist Scrum gibt es die Retrospektive. Was entspricht dieser im klassischen / planbasierten Projektmanagement 
04.05.11 Chancen und Risiken,Benenne die Spalten der Risiko-Analyse!,"Identifikation: Ursache & Wirkung
Basis-Variablen: Eintrittswahrscheinlichkeit (EW) & Schadenshöhe/Tragweite (TW)
Risikowert (RW): Berechnung aus EW × TW
Bewältigung: Präventive & Korrektive Maßnahmen
Kostenkontrolle: Maßnahmekosten
Validierung: Restrisiko (EW neu, TW neu, RW neu)
Entscheidung: Umsetzung Ja/Nein (Abgleich: RW-Senkung vs. Maßnahmekosten)

a) Spalte 1–6: Risikoanalyse & Bewertung (Was könnte passieren und wie schlimm ist es?)
b) Spalte 7–9: Risikosteuerung (Was tun wir dagegen und wer ist zuständig?)",
04.05.11 Chancen und Risiken,Definieren Sie den Begriff Risiko und beschreiben Sie die notwendigen Berechnungen in der Analyse.,"Risiko ist die Möglichkeit, dass ein Ereignis eintritt, das negative Auswirkungen auf ein Projekt hat.  
 RW (Risikowert) = EW  (Eintrittswahrscheinlichkeit in Prozent) *TW (Tragweite/Schadenshöhe in Euro)

Ein Risiko ist ein potentielles zukünftiges Ereignis, dass mein Projekt oder Teile davon negativ beeinflussen kann. Zur Einschätzung des Risikos muss ich der Eintrittswahrscheinlichkeit die Tragweite gegenüberstellen. Daraus ergibt sich der Risikowert als Entscheidungshilfe, ob eine präventive Maßnahme zur Risikovermeidung sinnvoll ist oder ob das Risiko in Kauf genommen wird, weil eine Maßnahme in keinem Verhältnis zum Nutzen steht.
",
04.05.11 Chancen und Risiken,Der berechnete Risikowert des Projektes beträgt 100.000 €. Das Arbeitspaket 37 hat eine Eintrittswahrscheinlichkeit (EW) von 10% und eine Schadenshöhe (SH) von 150.000€ und tritt nicht ein. Wie hoch ist der verbleibende Gesamtrisikowert?,"Der verbleibende Gesamtrisikowert beträgt 85.000€, da vom ursprünglichen Risikowert von 100.000€ der Risikowert des Arbeitspakets 37 (10% × 150.000€ = 15.000€) abgezogen werden muss, nachdem dieses Risiko nicht eingetreten ist.",
04.05.11 Chancen und Risiken,"Ein Arbeitspaket wurde eine Woche zu spät abgeliefert. Die Vertragsstrafe beträgt 10.000 €. Wie hoch ist der Risikowert, wenn die Vertragsstrafe eintritt?","es ist in dem Augenblick schon ein Problem und kein Risiko mehr, eingetretener Schaden: Der Risikowert, wenn die Vertragsstrafe eintritt, beträgt 10.000 €.
Schadenshöhe = 10.000 €
Eintrittswahrscheinlichkeit = 1 (100 %)
Risikowert=1×10.000€=10.000€, wäre er schon aus dem Buget abgezogen wär er raus...",
04.05.11 Chancen und Risiken,"Ein Auto startet jedes 10. Mal nicht. Berechne die Eintrittswahrscheinlichkeit des Risikos, dass das Auto nicht startet. Ist das Risiko akzeptabel?","1 von 10 = 10% → Kontextabhängig - Nicht akzeptabel (Medizinzulassung, Notfall) Akzeptabel -(Verspätung beim Einkaufen).

Eintrittswahrscheinlichkeit 10%. Das Risiko ist für mich nicht akzeptabel, weil ich bei der Fahrt zur Arbeit und zurück mindestens 1x pro Woche nicht mit dem Auto fahren kann und nicht weiß, wann dieses Ereignis eintrifft.",
04.05.11 Chancen und Risiken,Erklären Sie den Unterschied zwischen einem Risiko und einem Problem im Projektmanagement.,"Risiken sind mögliche, zukünftige Bedrohungen, während Probleme bereits eingetretene Schwierigkeiten sind, die sofortige Lösungen erfordern.",
04.05.11 Chancen und Risiken,Erläutern Sie die beiden Arten von Risikomaßnahmen.,"Präventiv: Reduzierung der Eintrittswahrscheinlichkeit oder Schadenshöhe (z. B. Dammbau, Versicherung).
Korrektiv: Schadensbegrenzung nach Risikoeintritt (z. B. Abpumpen durch Feuerwehr).
",
04.05.11 Chancen und Risiken,Erläutern Sie die Kopfstandmethode anhand eines Beispiels ,"Die Kopfstandmethode kehrt ein Problem gedanklich ins Gegenteil um, um dadurch neue Ideen zu provozieren, die man anschließend wieder ins Positive übersetzt. Beispiel: Statt zu fragen „Wie erhöhen wir die Kundenzufriedenheit?“, fragt man „Wie vergraulen wir Kunden?“ und leitet aus diesen Negativideen Maßnahmen zur Verbesserung ab.",
04.05.11 Chancen und Risiken,"Erläutern Sie die Risikostrategie ""akzeptieren"" an einem Beispiel.","Risikostrategie ""Akzeptieren"":
Bewusstes Hinnehmen eines Risikos ohne präventive Maßnahmen. Eingriff erst bei Eintritt, wenn Auswirkungen oder Kosten-Nutzen-Verhältnis gering sind.
Beispiel:
Outdoor-Betriebsfest ohne Zeltmiete – Regenrisiko wird akzeptiert. Bei Regenbeginn werden spontan Sonnensegel aufgespannt, oder man genießt die Sommerliche Abkühlung---:-)",
04.05.11 Chancen und Risiken,"Erläutern Sie die Risikostrategie ""verringern"" anhand eines Beispiels ","Die Strategie ""Vermindern"" (Risikominderung) zielt darauf ab, entweder die Eintrittswahrscheinlichkeit (EW) oder die Schadenshöhe (Tragweite, TW) eines Risikos durch präventive Maßnahmen zu reduzieren.
Beispiel: Um das Risiko eines terminverzugsbedingten Projektabbruchs wegen eines unsicheren Backendservers (R2) zu minimieren, wird das entsprechende Arbeitspaket (AP) zeitlich früher eingeplant. Durch diese Maßnahme wird die Eintrittswahrscheinlichkeit des Risikos gesenkt, wodurch der Risikowert reduziert wird (z. B. von 4 T€ auf 1,6 T€)",
04.05.11 Chancen und Risiken,Erstelle/Nenne die Spalten einer Risikotabelle!,"RisikoKlasse
EW (%)
TW (€)
RW (€)
präventive/korrektive Maßnahmen
Kosten präventive Maßnahmen
EW-Neu (%)
TW-Neu (€)
RW-Neu (€)
Umsetzung Ja/Nein
",
04.05.11 Chancen und Risiken,"Für ein Projekt hast Du vorab einen Risikowert von 100.000,- Euro berechnet. Ein Risiko mit einer Schadenshöhe von 100.000,- Euro und einer vorher prognostizierten Eintrittswahrscheinlichkeit von 10% ist nicht eingetreten. Wie hoch ist der aktualisierte Risikowert?","Der aktualisierte Risikowert wird berechnet, indem der Beitrag des nicht eingetretenen Risikos vom ursprünglichen Risikowert abgezogen wird.
Formel:
Risikowert = Ursprünglicher Risikowert −(Schadenshöhe×Eintrittswahrscheinlichkeit) 
Gegeben:
Ursprünglicher Risikowert = 100.000 €
Schadenshöhe = 100.000 €
Eintrittswahrscheinlichkeit = 10 % (0,1)
Aktualisierter Risikowert = 100.000 − (100.000×0,1)=100.000 −10.000 =90.000 €
Ergebnis: Der aktualisierte Risikowert beträgt 90.000 €.",
04.05.11 Chancen und Risiken,Geben Sie ein Beispiel einer qualitativen Risikobewertung ,"Fehlende Programmierer
EW: Hoch (Fachkräftemangel).
TW: Hoch (Terminverzug).
Strategie: Vermeiden/Vermindern (z. B. Frühzeitig einstellen).

Risiko: „Verzögerte Lieferung kritischer Hardware-Komponenten""
Die Eintrittswahrscheinlichkeit wird auf Mittel geschätzt, da Lieferanten gelegentlich Verzögerungen aufweisen. Das Schadensausmaß ist Hoch, da Verzögerungen zu 4–6 Wochen Projektverzug führen würden. Die resultierende Risikoeinschätzung erfordert erhöhte Aufmerksamkeit.",
04.05.11 Chancen und Risiken,Geben Sie vier (4) Spalten einer Risikotabelle an.,"Risikobeschreibung (Beschreibung des identifizierten Risikos)
Eintrittswahrscheinlichkeit (prozentuale Wahrscheinlichkeit des Risikoeintritts)
Schadenshöhe (potenzieller finanzieller oder qualitativer Schaden)
Risikowert (Produkt aus Eintrittswahrscheinlichkeit und Schadenshöhe)",
04.05.11 Chancen und Risiken,"Ihr Auto springt bei jedem 10. Mal nicht an, da es ein Problem mit dem Anlasser (Wackelkontakt Kabel) gibt. Wie hoch ist die Eintrittswahrscheinlichkeit in %, dass Sie nicht losfahren können? Akzeptieren Sie das Risiko? Begründen Sie Ihre Antwort.","EW = jedes 10 Mal = 1/10 = 10% 
Viele Experten sind der Meinung, dass ein Risiko von 10 % als hoch gilt, daher akzeptiere ich das Risiko nicht! Nur geringe Risiken können akzeptiert werden.

EW = 10%; Nein, keine Akzeptanz, da ich in derKonsequenz das Auto nicht benutzen zu können , mit den öffentlichen Verkehrsmitteln zur Arbeit  fahren muß . Das dauert doppelt so lange. Damit komme ich in 10% der Fälle zu spät zur Arbeit.",
04.05.11 Chancen und Risiken,"Ihr Projekt ist der Bau eines Einfamilienhauses. Nennen Sie 2 Punkte, die Sie in eine Risiko-Checkliste schreiben würden.","Höherer Grundwasserspiegel als erwartet
Subunternehmer mit Finanzproblemen",
04.05.11 Chancen und Risiken,Im Projektvertrag ist für eine verspätete Lieferung des Projektgegenstandes um mehr als eine Woche eine Strafe von 10T€ angegeben. Für eine verspätete Lieferung um 1 Woche geben Ihre Experten eine Wahrscheinlichkeit von 10% an. Wie hoch ist der Risikowert (inkl. Rechenweg?),"Risikowert (RW) = Eintrittswahrscheinlichkeit (EW in %) x Schadenshöhe (TW in €), hier RW = 0,1 x 10 T€ = 1.000 €",
